TimeStamp,Value
Thu Apr 09 08:46:38 CDT 2015,0.896484375
Thu Apr 09 08:46:40 CDT 2015,1.119140625
Thu Apr 09 08:46:41 CDT 2015,0.7734375
Thu Apr 09 08:46:42 CDT 2015,0.4375
Thu Apr 09 08:46:44 CDT 2015,1.03515625
Thu Apr 09 08:46:46 CDT 2015,2.734375
Thu Apr 09 08:46:50 CDT 2015,1.33984375
Thu Apr 09 08:46:55 CDT 2015,1.201171875
Thu Apr 09 08:46:56 CDT 2015,0.447265625
Thu Apr 09 08:46:57 CDT 2015,1.0390625
Thu Apr 09 08:46:58 CDT 2015,0.26953125
Thu Apr 09 08:46:59 CDT 2015,1.12109375
Thu Apr 09 08:47:00 CDT 2015,0.8125
Thu Apr 09 08:47:01 CDT 2015,0.26953125
Thu Apr 09 08:47:05 CDT 2015,3.99609375
Thu Apr 09 08:47:06 CDT 2015,0.443359375
Thu Apr 09 08:47:07 CDT 2015,0.87109375
Thu Apr 09 08:47:08 CDT 2015,0.88671875
Thu Apr 09 08:47:10 CDT 2015,2.265625
Thu Apr 09 08:47:11 CDT 2015,0.2981770833333333
Thu Apr 09 08:47:12 CDT 2015,0.49609375
Thu Apr 09 08:47:13 CDT 2015,1.6796875
Thu Apr 09 08:47:14 CDT 2015,0.548828125
Thu Apr 09 08:47:15 CDT 2015,0.63671875
Thu Apr 09 08:47:17 CDT 2015,1.82421875
Thu Apr 09 08:47:18 CDT 2015,0.4401041666666667
Thu Apr 09 08:47:21 CDT 2015,3.0625
Thu Apr 09 08:47:22 CDT 2015,0.369140625
Thu Apr 09 08:47:25 CDT 2015,1.13671875
Thu Apr 09 08:47:26 CDT 2015,0.431640625
Thu Apr 09 08:47:29 CDT 2015,0.9596354166666666
Thu Apr 09 08:47:31 CDT 2015,0.69140625
Thu Apr 09 08:47:32 CDT 2015,0.26953125
Thu Apr 09 08:47:33 CDT 2015,1.89453125
Thu Apr 09 08:47:34 CDT 2015,0.35546875
Thu Apr 09 08:47:35 CDT 2015,0.53125
Thu Apr 09 08:47:36 CDT 2015,0.419921875
Thu Apr 09 08:47:37 CDT 2015,0.3291015625
Thu Apr 09 08:47:38 CDT 2015,0.28125
Thu Apr 09 08:47:39 CDT 2015,0.421875
Thu Apr 09 08:47:41 CDT 2015,2.1171875
Thu Apr 09 08:47:44 CDT 2015,1.1028645833333333
Thu Apr 09 08:47:48 CDT 2015,2.0703125
Thu Apr 09 08:47:49 CDT 2015,0.3020833333333333
Thu Apr 09 08:47:51 CDT 2015,0.56640625
Thu Apr 09 08:47:52 CDT 2015,0.90234375
Thu Apr 09 08:47:53 CDT 2015,0.37890625
Thu Apr 09 08:47:54 CDT 2015,0.431640625
Thu Apr 09 08:47:55 CDT 2015,0.2786458333333333
Thu Apr 09 08:47:56 CDT 2015,0.431640625
Thu Apr 09 08:47:57 CDT 2015,1.453125
Thu Apr 09 08:47:58 CDT 2015,0.3125
Thu Apr 09 08:47:59 CDT 2015,0.35546875
Thu Apr 09 08:48:01 CDT 2015,2.23046875
Thu Apr 09 08:48:04 CDT 2015,1.396484375
Thu Apr 09 08:48:05 CDT 2015,0.30078125
Thu Apr 09 08:48:06 CDT 2015,0.65234375
Thu Apr 09 08:48:07 CDT 2015,1.0703125
Thu Apr 09 08:48:08 CDT 2015,0.4296875
Thu Apr 09 08:48:09 CDT 2015,0.78515625
Thu Apr 09 08:48:10 CDT 2015,0.466796875
Thu Apr 09 08:48:12 CDT 2015,0.9453125
Thu Apr 09 08:48:13 CDT 2015,0.3671875
Thu Apr 09 08:48:14 CDT 2015,0.7421875
Thu Apr 09 08:48:15 CDT 2015,0.490234375
Thu Apr 09 08:48:16 CDT 2015,1.01953125
Thu Apr 09 08:48:17 CDT 2015,1.0234375
Thu Apr 09 08:48:18 CDT 2015,0.599609375
Thu Apr 09 08:48:20 CDT 2015,1.06640625
Thu Apr 09 08:48:22 CDT 2015,1.5625
Thu Apr 09 08:48:23 CDT 2015,0.76171875
Thu Apr 09 08:48:25 CDT 2015,1.8125
Thu Apr 09 08:48:26 CDT 2015,0.884765625
Thu Apr 09 08:48:27 CDT 2015,1.09375
Thu Apr 09 08:48:29 CDT 2015,0.853515625
Thu Apr 09 08:48:30 CDT 2015,0.4921875
Thu Apr 09 08:48:33 CDT 2015,3.62890625
Thu Apr 09 08:48:35 CDT 2015,1.40234375
Thu Apr 09 08:48:36 CDT 2015,1.06640625
Thu Apr 09 08:48:37 CDT 2015,1.4375
Thu Apr 09 08:48:38 CDT 2015,0.453125
Thu Apr 09 08:48:41 CDT 2015,1.1575520833333333
Thu Apr 09 08:48:42 CDT 2015,1.29296875
Thu Apr 09 08:48:45 CDT 2015,2.1484375
Thu Apr 09 08:48:46 CDT 2015,0.5885416666666666
Thu Apr 09 08:48:47 CDT 2015,0.28125
Thu Apr 09 08:48:48 CDT 2015,0.3776041666666667
Thu Apr 09 08:48:50 CDT 2015,0.9765625
Thu Apr 09 08:48:51 CDT 2015,0.26953125
Thu Apr 09 08:48:53 CDT 2015,1.75
Thu Apr 09 08:48:54 CDT 2015,0.3971354166666667
Thu Apr 09 08:48:55 CDT 2015,0.595703125
Thu Apr 09 08:48:57 CDT 2015,1.2421875
Thu Apr 09 08:48:58 CDT 2015,0.755859375
Thu Apr 09 08:48:59 CDT 2015,0.578125
Thu Apr 09 08:49:00 CDT 2015,0.427734375
Thu Apr 09 08:49:01 CDT 2015,0.421875
Thu Apr 09 08:49:02 CDT 2015,1.20703125
Thu Apr 09 08:49:03 CDT 2015,0.7109375
Thu Apr 09 08:49:06 CDT 2015,2.6171875
Thu Apr 09 08:49:07 CDT 2015,0.5481770833333334
Thu Apr 09 08:49:08 CDT 2015,0.466796875
Thu Apr 09 08:49:10 CDT 2015,1.76171875
Thu Apr 09 08:49:11 CDT 2015,1.3203125
Thu Apr 09 08:49:12 CDT 2015,0.7421875
Thu Apr 09 08:49:13 CDT 2015,0.3330078125
Thu Apr 09 08:49:16 CDT 2015,1.0013020833333333
Thu Apr 09 08:49:17 CDT 2015,0.85546875
Thu Apr 09 08:49:20 CDT 2015,1.544921875
Thu Apr 09 08:49:21 CDT 2015,0.50390625
Thu Apr 09 08:49:22 CDT 2015,0.609375
Thu Apr 09 08:49:23 CDT 2015,0.640625
Thu Apr 09 08:49:26 CDT 2015,3.10546875
Thu Apr 09 08:49:27 CDT 2015,0.26953125
Thu Apr 09 08:49:28 CDT 2015,1.58984375
Thu Apr 09 08:49:30 CDT 2015,0.6705729166666666
Thu Apr 09 08:49:31 CDT 2015,0.66796875
Thu Apr 09 08:49:34 CDT 2015,3.359375
Thu Apr 09 08:49:35 CDT 2015,1.06640625
Thu Apr 09 08:49:36 CDT 2015,0.2825520833333333
Thu Apr 09 08:49:37 CDT 2015,0.48046875
Thu Apr 09 08:49:38 CDT 2015,0.3763020833333333
Thu Apr 09 08:49:39 CDT 2015,0.33203125
Thu Apr 09 08:49:40 CDT 2015,0.462890625
Thu Apr 09 08:49:41 CDT 2015,0.26953125
Thu Apr 09 08:49:42 CDT 2015,0.521484375
Thu Apr 09 08:49:43 CDT 2015,0.94921875
Thu Apr 09 08:49:44 CDT 2015,0.55859375
Thu Apr 09 08:49:45 CDT 2015,0.6875
Thu Apr 09 08:49:46 CDT 2015,0.38671875
Thu Apr 09 08:49:47 CDT 2015,0.42578125
Thu Apr 09 08:49:48 CDT 2015,0.94921875
Thu Apr 09 08:49:50 CDT 2015,2.1953125
Thu Apr 09 08:49:51 CDT 2015,0.7265625
Thu Apr 09 08:49:53 CDT 2015,0.92578125
Thu Apr 09 08:49:54 CDT 2015,0.26953125
Thu Apr 09 08:49:55 CDT 2015,0.857421875
Thu Apr 09 08:49:57 CDT 2015,1.8984375
Thu Apr 09 08:49:58 CDT 2015,0.3671875
Thu Apr 09 08:50:01 CDT 2015,3.046875
