TimeStamp,Value
Thu Apr 09 08:35:01 CDT 2015,20012.96
Thu Apr 09 08:35:02 CDT 2015,20012.96
Thu Apr 09 08:35:03 CDT 2015,20012.96
Thu Apr 09 08:35:04 CDT 2015,19707.52
Thu Apr 09 08:35:05 CDT 2015,23133.76
Thu Apr 09 08:35:06 CDT 2015,23133.76
Thu Apr 09 08:35:07 CDT 2015,23133.76
Thu Apr 09 08:35:08 CDT 2015,22336.96
Thu Apr 09 08:35:09 CDT 2015,22336.96
Thu Apr 09 08:35:10 CDT 2015,22336.96
Thu Apr 09 08:35:11 CDT 2015,14979.84
Thu Apr 09 08:35:12 CDT 2015,14979.84
Thu Apr 09 08:35:13 CDT 2015,14979.84
Thu Apr 09 08:35:14 CDT 2015,15444.64
Thu Apr 09 08:35:15 CDT 2015,15444.64
Thu Apr 09 08:35:16 CDT 2015,15444.64
Thu Apr 09 08:35:17 CDT 2015,13930.72
Thu Apr 09 08:35:18 CDT 2015,13930.72
Thu Apr 09 08:35:19 CDT 2015,15670.4
Thu Apr 09 08:35:20 CDT 2015,15670.4
Thu Apr 09 08:35:21 CDT 2015,11314.56
Thu Apr 09 08:35:22 CDT 2015,11314.56
Thu Apr 09 08:35:23 CDT 2015,11314.56
Thu Apr 09 08:35:24 CDT 2015,11407.519999999999
Thu Apr 09 08:35:25 CDT 2015,11407.519999999999
Thu Apr 09 08:35:26 CDT 2015,12416.8
Thu Apr 09 08:35:27 CDT 2015,12416.8
Thu Apr 09 08:35:28 CDT 2015,12416.8
Thu Apr 09 08:35:29 CDT 2015,15896.16
Thu Apr 09 08:35:30 CDT 2015,15896.16
Thu Apr 09 08:35:31 CDT 2015,15896.16
Thu Apr 09 08:35:32 CDT 2015,16560.16
Thu Apr 09 08:35:33 CDT 2015,16560.16
Thu Apr 09 08:35:34 CDT 2015,18074.079999999998
Thu Apr 09 08:35:35 CDT 2015,18074.079999999998
Thu Apr 09 08:35:36 CDT 2015,18074.079999999998
Thu Apr 09 08:35:37 CDT 2015,17649.12
Thu Apr 09 08:35:38 CDT 2015,17649.12
Thu Apr 09 08:35:39 CDT 2015,17649.12
Thu Apr 09 08:35:40 CDT 2015,17649.12
Thu Apr 09 08:35:41 CDT 2015,18286.559999999998
Thu Apr 09 08:35:42 CDT 2015,18286.559999999998
Thu Apr 09 08:35:43 CDT 2015,18286.559999999998
Thu Apr 09 08:35:44 CDT 2015,18286.559999999998
