TimeStamp,Athelete,activity,breathingrate,breathingratestatus,cadence,expiration,heartrate,heartratestatus,inspiration,minuteventilation,rrinterval,tidalvolume,
Thu Apr 09 08:35:40 CDT 2015,1006,0.19140625,23,0,0,null,70,0,null,17649.12,null,451.52,
Thu Apr 09 08:35:41 CDT 2015,1006,0.1484375,22,0,0,null,70,32,null,18286.559999999998,null,1394.3999999999999,
Thu Apr 09 08:35:42 CDT 2015,1006,0.06640625,22,0,0,null,70,32,null,18286.559999999998,null,1394.3999999999999,
Thu Apr 09 08:35:43 CDT 2015,1006,0.13671875,21,0,0,null,70,32,null,18286.559999999998,null,1394.3999999999999,
Thu Apr 09 08:35:44 CDT 2015,1006,0.23828125,21,0,0,null,70,32,null,18286.559999999998,null,1394.3999999999999,
Thu Apr 09 08:35:45 CDT 2015,1006,0.22265625,21,0,0,null,70,32,null,18286.559999999998,null,1394.3999999999999,
Thu Apr 09 08:35:46 CDT 2015,1006,0.03515625,21,0,0,null,70,32,24473,18286.559999999998,null,1394.3999999999999,
Thu Apr 09 08:35:47 CDT 2015,1006,0.109375,21,0,0,24428,70,32,null,18286.559999999998,null,1394.3999999999999,
Thu Apr 09 08:35:48 CDT 2015,1006,0.19140625,20,0,0,null,70,32,null,14528.32,null,584.3199999999999,
Thu Apr 09 08:35:49 CDT 2015,1006,0.1953125,18,0,0,null,70,32,null,14528.32,null,584.3199999999999,
Thu Apr 09 08:35:50 CDT 2015,1006,0.109375,17,0,0,null,70,32,null,14528.32,null,584.3199999999999,
Thu Apr 09 08:35:51 CDT 2015,1006,0.07421875,16,0,0,null,70,32,24485,14528.32,null,584.3199999999999,
Thu Apr 09 08:35:52 CDT 2015,1006,0.11328125,17,0,0,null,70,32,null,14528.32,null,584.3199999999999,
Thu Apr 09 08:35:53 CDT 2015,1006,0.17578125,17,0,0,null,70,32,null,14528.32,null,584.3199999999999,
Thu Apr 09 08:35:54 CDT 2015,1006,0.1171875,17,0,0,24322,70,32,null,14528.32,null,584.3199999999999,
Thu Apr 09 08:35:55 CDT 2015,1006,0.08984375,17,0,0,null,70,32,null,14528.32,null,584.3199999999999,
Thu Apr 09 08:35:56 CDT 2015,1006,0.01953125,17,0,0,null,70,32,null,14528.32,null,584.3199999999999,
Thu Apr 09 08:35:57 CDT 2015,1006,0.01953125,17,0,0,null,70,32,null,14528.32,null,584.3199999999999,
Thu Apr 09 08:35:58 CDT 2015,1006,0.125,16,0,0,null,70,32,null,13426.08,null,2151.3599999999997,
Thu Apr 09 08:35:59 CDT 2015,1006,0.1484375,15,0,0,null,70,32,null,13426.08,null,2151.3599999999997,
Thu Apr 09 08:36:00 CDT 2015,1006,0.05078125,13,0,0,null,70,32,24476,13426.08,null,2151.3599999999997,
Thu Apr 09 08:36:01 CDT 2015,1006,0.015625,13,0,0,null,70,32,null,13426.08,null,2151.3599999999997,
Thu Apr 09 08:36:02 CDT 2015,1006,0.015625,13,0,0,null,70,32,null,13426.08,null,2151.3599999999997,
Thu Apr 09 08:36:03 CDT 2015,1006,0.01953125,13,0,0,24438,70,32,null,13426.08,null,2151.3599999999997,
Thu Apr 09 08:36:04 CDT 2015,1006,0.015625,13,0,0,null,70,32,null,10438.08,null,491.35999999999996,
Thu Apr 09 08:36:05 CDT 2015,1006,0.01953125,12,0,0,null,70,32,24475,10438.08,null,491.35999999999996,
Thu Apr 09 08:36:06 CDT 2015,1006,0.0234375,12,0,0,24449,70,32,null,10438.08,null,491.35999999999996,
Thu Apr 09 08:36:07 CDT 2015,1006,0.02734375,12,0,0,null,70,32,24476,10265.439999999999,null,345.28,
Thu Apr 09 08:36:08 CDT 2015,1006,0.0234375,12,0,0,24446,70,32,null,10265.439999999999,null,345.28,
Thu Apr 09 08:36:09 CDT 2015,1006,0.01953125,12,0,0,null,70,32,null,10265.439999999999,null,345.28,
Thu Apr 09 08:36:10 CDT 2015,1006,0.0234375,12,0,0,null,70,32,24482,9681.119999999999,null,385.12,
Thu Apr 09 08:36:11 CDT 2015,1006,0.015625,12,0,0,null,70,32,null,9681.119999999999,null,385.12,
Thu Apr 09 08:36:12 CDT 2015,1006,0.0234375,12,0,0,null,70,32,null,9681.119999999999,null,385.12,
Thu Apr 09 08:36:13 CDT 2015,1006,0.03125,11,0,0,24425,70,32,null,9681.119999999999,null,385.12,
Thu Apr 09 08:36:14 CDT 2015,1006,0.015625,11,0,0,null,70,32,null,9681.119999999999,null,385.12,
Thu Apr 09 08:36:15 CDT 2015,1006,0.01953125,11,0,0,null,70,32,null,9681.119999999999,null,743.68,
Thu Apr 09 08:36:16 CDT 2015,1006,0.0390625,11,0,0,null,70,32,24447,9681.119999999999,null,743.68,
Thu Apr 09 08:36:17 CDT 2015,1006,0.03515625,11,0,0,24430,70,32,null,9681.119999999999,null,743.68,
Thu Apr 09 08:36:18 CDT 2015,1006,0.046875,11,0,0,null,70,32,24479,7928.16,null,212.48,
Thu Apr 09 08:36:19 CDT 2015,1006,0.11328125,11,0,0,24449,70,32,null,7928.16,null,212.48,
Thu Apr 09 08:36:20 CDT 2015,1006,0.046875,11,0,0,null,162,32,null,7928.16,null,212.48,
Thu Apr 09 08:36:21 CDT 2015,1006,0.0234375,12,0,0,null,162,32,24482,8751.52,null,385.12,
Thu Apr 09 08:36:22 CDT 2015,1006,0.0,12,0,0,24447,162,32,null,8751.52,null,385.12,
Thu Apr 09 08:36:23 CDT 2015,1006,0.0,14,0,0,null,162,32,null,7118.08,null,451.52,
Thu Apr 09 08:36:24 CDT 2015,1006,0.0,15,0,0,null,162,32,24480,7118.08,null,451.52,
Thu Apr 09 08:36:25 CDT 2015,1006,0.015625,16,0,0,24443,162,32,null,7118.08,null,451.52,
Thu Apr 09 08:36:26 CDT 2015,1006,0.015625,17,0,0,null,162,32,null,8260.16,null,478.08,
Thu Apr 09 08:36:27 CDT 2015,1006,0.0,18,0,0,null,162,32,24473,8260.16,null,478.08,
Thu Apr 09 08:36:28 CDT 2015,1006,0.02734375,19,0,0,24442,162,32,null,8260.16,null,478.08,
Thu Apr 09 08:36:29 CDT 2015,1006,0.015625,19,0,0,null,162,32,null,8379.68,null,398.4,
Thu Apr 09 08:36:30 CDT 2015,1006,0.078125,19,0,0,24439,162,32,24488,8379.68,null,398.4,
