TimeStamp,Value
Thu Apr 09 08:37:17 CDT 2015,24516
Thu Apr 09 08:37:20 CDT 2015,24511
Thu Apr 09 08:37:22 CDT 2015,24503
Thu Apr 09 08:37:24 CDT 2015,24509
Thu Apr 09 08:37:27 CDT 2015,24495
Thu Apr 09 08:37:29 CDT 2015,24488
Thu Apr 09 08:37:32 CDT 2015,24492
Thu Apr 09 08:37:35 CDT 2015,24497
Thu Apr 09 08:37:38 CDT 2015,24513
Thu Apr 09 08:37:41 CDT 2015,24504
Thu Apr 09 08:37:43 CDT 2015,24520
Thu Apr 09 08:37:44 CDT 2015,24497
Thu Apr 09 08:37:45 CDT 2015,24498
Thu Apr 09 08:37:47 CDT 2015,24512
Thu Apr 09 08:37:49 CDT 2015,24512
Thu Apr 09 08:37:52 CDT 2015,24507
Thu Apr 09 08:37:55 CDT 2015,24516
Thu Apr 09 08:37:56 CDT 2015,24523
Thu Apr 09 08:37:59 CDT 2015,24538
Thu Apr 09 08:38:00 CDT 2015,24539
Thu Apr 09 08:38:03 CDT 2015,24536
Thu Apr 09 08:38:08 CDT 2015,24512
Thu Apr 09 08:38:10 CDT 2015,24513
Thu Apr 09 08:38:12 CDT 2015,24511
Thu Apr 09 08:38:15 CDT 2015,24503
Thu Apr 09 08:38:21 CDT 2015,24512
Thu Apr 09 08:38:24 CDT 2015,24518
Thu Apr 09 08:38:26 CDT 2015,24533
Thu Apr 09 08:38:29 CDT 2015,24525
Thu Apr 09 08:38:31 CDT 2015,24511
Thu Apr 09 08:38:33 CDT 2015,24528
Thu Apr 09 08:38:36 CDT 2015,24527
Thu Apr 09 08:38:39 CDT 2015,24518
Thu Apr 09 08:38:41 CDT 2015,24519
Thu Apr 09 08:38:44 CDT 2015,24514
Thu Apr 09 08:38:47 CDT 2015,24519
Thu Apr 09 08:38:50 CDT 2015,24546
Thu Apr 09 08:38:52 CDT 2015,24527
Thu Apr 09 08:38:57 CDT 2015,24539
Thu Apr 09 08:39:02 CDT 2015,24538
Thu Apr 09 08:39:05 CDT 2015,24546
Thu Apr 09 08:39:07 CDT 2015,24532
Thu Apr 09 08:39:11 CDT 2015,24548
Thu Apr 09 08:39:16 CDT 2015,24531
Thu Apr 09 08:39:19 CDT 2015,24544
Thu Apr 09 08:39:23 CDT 2015,24539
Thu Apr 09 08:39:25 CDT 2015,24537
Thu Apr 09 08:39:27 CDT 2015,24525
Thu Apr 09 08:39:30 CDT 2015,24514
Thu Apr 09 08:39:38 CDT 2015,24539
Thu Apr 09 08:39:41 CDT 2015,24540
Thu Apr 09 08:39:45 CDT 2015,24541
Thu Apr 09 08:39:48 CDT 2015,24536
Thu Apr 09 08:39:54 CDT 2015,24529
Thu Apr 09 08:40:01 CDT 2015,24534
Thu Apr 09 08:40:04 CDT 2015,24548
Thu Apr 09 08:40:11 CDT 2015,24523
Thu Apr 09 08:40:14 CDT 2015,24518
Thu Apr 09 08:40:20 CDT 2015,24380
Thu Apr 09 08:40:23 CDT 2015,24374
Thu Apr 09 08:40:27 CDT 2015,24371
Thu Apr 09 08:40:31 CDT 2015,24372
Thu Apr 09 08:40:37 CDT 2015,24374
Thu Apr 09 08:40:42 CDT 2015,24377
Thu Apr 09 08:40:45 CDT 2015,24364
Thu Apr 09 08:40:50 CDT 2015,24357
