TimeStamp,Value
Thu Apr 09 08:37:34 CDT 2015,32
Thu Apr 09 08:37:35 CDT 2015,32
Thu Apr 09 08:37:36 CDT 2015,32
Thu Apr 09 08:37:37 CDT 2015,32
Thu Apr 09 08:37:38 CDT 2015,48
Thu Apr 09 08:37:39 CDT 2015,48
Thu Apr 09 08:37:40 CDT 2015,32
Thu Apr 09 08:37:41 CDT 2015,32
Thu Apr 09 08:37:42 CDT 2015,48
Thu Apr 09 08:37:43 CDT 2015,48
Thu Apr 09 08:37:44 CDT 2015,48
Thu Apr 09 08:37:45 CDT 2015,48
Thu Apr 09 08:37:46 CDT 2015,48
Thu Apr 09 08:37:47 CDT 2015,48
Thu Apr 09 08:37:48 CDT 2015,48
Thu Apr 09 08:37:49 CDT 2015,48
Thu Apr 09 08:37:50 CDT 2015,48
Thu Apr 09 08:37:51 CDT 2015,48
Thu Apr 09 08:37:52 CDT 2015,48
Thu Apr 09 08:37:53 CDT 2015,48
Thu Apr 09 08:37:54 CDT 2015,48
Thu Apr 09 08:37:55 CDT 2015,48
Thu Apr 09 08:37:56 CDT 2015,48
Thu Apr 09 08:37:57 CDT 2015,48
Thu Apr 09 08:37:58 CDT 2015,32
Thu Apr 09 08:37:59 CDT 2015,48
Thu Apr 09 08:38:00 CDT 2015,48
Thu Apr 09 08:38:01 CDT 2015,48
Thu Apr 09 08:38:02 CDT 2015,48
Thu Apr 09 08:38:03 CDT 2015,32
Thu Apr 09 08:38:04 CDT 2015,48
Thu Apr 09 08:38:05 CDT 2015,56
Thu Apr 09 08:38:06 CDT 2015,48
Thu Apr 09 08:38:07 CDT 2015,48
Thu Apr 09 08:38:08 CDT 2015,48
Thu Apr 09 08:38:09 CDT 2015,48
Thu Apr 09 08:38:10 CDT 2015,48
Thu Apr 09 08:38:11 CDT 2015,48
Thu Apr 09 08:38:12 CDT 2015,48
Thu Apr 09 08:38:13 CDT 2015,48
Thu Apr 09 08:38:14 CDT 2015,48
Thu Apr 09 08:38:15 CDT 2015,48
Thu Apr 09 08:38:16 CDT 2015,48
Thu Apr 09 08:38:17 CDT 2015,32
Thu Apr 09 08:38:18 CDT 2015,32
Thu Apr 09 08:38:19 CDT 2015,48
Thu Apr 09 08:38:20 CDT 2015,48
Thu Apr 09 08:38:21 CDT 2015,48
Thu Apr 09 08:38:22 CDT 2015,48
Thu Apr 09 08:38:23 CDT 2015,48
Thu Apr 09 08:38:24 CDT 2015,48
Thu Apr 09 08:38:25 CDT 2015,48
Thu Apr 09 08:38:26 CDT 2015,48
Thu Apr 09 08:38:27 CDT 2015,48
Thu Apr 09 08:38:28 CDT 2015,32
Thu Apr 09 08:38:29 CDT 2015,32
Thu Apr 09 08:38:30 CDT 2015,32
