TimeStamp,Value
Thu Apr 09 08:36:28 CDT 2015,24442
Thu Apr 09 08:36:30 CDT 2015,24439
Thu Apr 09 08:36:33 CDT 2015,24461
Thu Apr 09 08:36:38 CDT 2015,24463
Thu Apr 09 08:36:41 CDT 2015,24462
Thu Apr 09 08:36:44 CDT 2015,24461
Thu Apr 09 08:36:47 CDT 2015,24467
Thu Apr 09 08:36:49 CDT 2015,24462
Thu Apr 09 08:36:52 CDT 2015,24447
Thu Apr 09 08:36:55 CDT 2015,24441
Thu Apr 09 08:36:57 CDT 2015,24451
Thu Apr 09 08:37:00 CDT 2015,24431
Thu Apr 09 08:37:02 CDT 2015,24420
Thu Apr 09 08:37:03 CDT 2015,24420
Thu Apr 09 08:37:05 CDT 2015,24421
Thu Apr 09 08:37:07 CDT 2015,24461
Thu Apr 09 08:37:10 CDT 2015,24470
Thu Apr 09 08:37:13 CDT 2015,24462
Thu Apr 09 08:37:16 CDT 2015,24470
Thu Apr 09 08:37:18 CDT 2015,24469
Thu Apr 09 08:37:21 CDT 2015,24478
Thu Apr 09 08:37:23 CDT 2015,24486
Thu Apr 09 08:37:26 CDT 2015,24470
Thu Apr 09 08:37:28 CDT 2015,24462
Thu Apr 09 08:37:30 CDT 2015,24465
Thu Apr 09 08:37:33 CDT 2015,24472
Thu Apr 09 08:37:36 CDT 2015,24471
Thu Apr 09 08:37:39 CDT 2015,24469
Thu Apr 09 08:37:41 CDT 2015,24467
Thu Apr 09 08:37:44 CDT 2015,24462
Thu Apr 09 08:37:45 CDT 2015,24475
Thu Apr 09 08:37:46 CDT 2015,24471
Thu Apr 09 08:37:48 CDT 2015,24473
Thu Apr 09 08:37:50 CDT 2015,24469
Thu Apr 09 08:37:53 CDT 2015,24473
Thu Apr 09 08:37:55 CDT 2015,24502
Thu Apr 09 08:37:57 CDT 2015,24495
Thu Apr 09 08:37:59 CDT 2015,24494
Thu Apr 09 08:38:02 CDT 2015,24485
Thu Apr 09 08:38:05 CDT 2015,24413
Thu Apr 09 08:38:08 CDT 2015,24467
Thu Apr 09 08:38:11 CDT 2015,24485
Thu Apr 09 08:38:13 CDT 2015,24485
Thu Apr 09 08:38:17 CDT 2015,24298
Thu Apr 09 08:38:22 CDT 2015,24484
Thu Apr 09 08:38:25 CDT 2015,24482
Thu Apr 09 08:38:27 CDT 2015,24484
Thu Apr 09 08:38:30 CDT 2015,24480
Thu Apr 09 08:38:32 CDT 2015,24478
Thu Apr 09 08:38:34 CDT 2015,24490
Thu Apr 09 08:38:37 CDT 2015,24489
Thu Apr 09 08:38:40 CDT 2015,24482
Thu Apr 09 08:38:42 CDT 2015,24480
Thu Apr 09 08:38:45 CDT 2015,24483
Thu Apr 09 08:38:48 CDT 2015,24470
Thu Apr 09 08:38:51 CDT 2015,24477
Thu Apr 09 08:38:53 CDT 2015,24494
Thu Apr 09 08:38:58 CDT 2015,24501
Thu Apr 09 08:39:03 CDT 2015,24492
Thu Apr 09 08:39:06 CDT 2015,24492
Thu Apr 09 08:39:08 CDT 2015,24495
Thu Apr 09 08:39:14 CDT 2015,24507
Thu Apr 09 08:39:17 CDT 2015,24508
Thu Apr 09 08:39:22 CDT 2015,24498
Thu Apr 09 08:39:23 CDT 2015,24488
Thu Apr 09 08:39:26 CDT 2015,24485
Thu Apr 09 08:39:28 CDT 2015,24493
Thu Apr 09 08:39:31 CDT 2015,24488
Thu Apr 09 08:39:38 CDT 2015,24506
Thu Apr 09 08:39:43 CDT 2015,24492
Thu Apr 09 08:39:46 CDT 2015,24436
Thu Apr 09 08:39:50 CDT 2015,24503
Thu Apr 09 08:39:54 CDT 2015,24487
Thu Apr 09 08:40:02 CDT 2015,24484
Thu Apr 09 08:40:06 CDT 2015,24355
Thu Apr 09 08:40:12 CDT 2015,24488
Thu Apr 09 08:40:18 CDT 2015,24322
Thu Apr 09 08:40:21 CDT 2015,24336
Thu Apr 09 08:40:25 CDT 2015,24313
Thu Apr 09 08:40:28 CDT 2015,24324
Thu Apr 09 08:40:32 CDT 2015,24319
Thu Apr 09 08:40:38 CDT 2015,24337
Thu Apr 09 08:40:43 CDT 2015,24318
Thu Apr 09 08:40:46 CDT 2015,24314
Thu Apr 09 08:40:52 CDT 2015,24333
Thu Apr 09 08:40:58 CDT 2015,24338
Thu Apr 09 08:41:04 CDT 2015,24321
Thu Apr 09 08:41:09 CDT 2015,24329
Thu Apr 09 08:41:15 CDT 2015,24308
Thu Apr 09 08:41:21 CDT 2015,24326
Thu Apr 09 08:41:25 CDT 2015,24332
Thu Apr 09 08:41:33 CDT 2015,24318
Thu Apr 09 08:41:43 CDT 2015,24227
Thu Apr 09 08:41:54 CDT 2015,24312
Thu Apr 09 08:42:05 CDT 2015,24332
Thu Apr 09 08:42:11 CDT 2015,24326
Thu Apr 09 08:42:18 CDT 2015,24321
Thu Apr 09 08:42:25 CDT 2015,24345
Thu Apr 09 08:42:30 CDT 2015,24341
Thu Apr 09 08:42:34 CDT 2015,24333
Thu Apr 09 08:42:39 CDT 2015,24334
Thu Apr 09 08:42:43 CDT 2015,24320
Thu Apr 09 08:42:48 CDT 2015,24331
Thu Apr 09 08:42:53 CDT 2015,24340
Thu Apr 09 08:42:59 CDT 2015,24341
Thu Apr 09 08:43:02 CDT 2015,24325
Thu Apr 09 08:43:06 CDT 2015,24331
Thu Apr 09 08:43:10 CDT 2015,24334
